target_name,target_type,mission,obsid,instrument_hint,data_cached,r_in_rg,r_in_rg_stat,r_in_rg_sys,r_in_bound,delta_gr_rg,z_gr,delta_pmodel_rg,z_pmodel,sigma_total_rg,sys_stat_ratio,sys_band_rg,sys_gain_rg,sys_rebin_rg,sys_region_rg,status,note,proxy_quality,proxy_line_detected,proxy_delta_chi2,proxy_net_counts_band_pos,proxy_snr_band,proxy_isco_constrained,proxy_region_mode
GX 339-4,bh_xrb,xmm,0204730201,EPIC,1,50,19.8485,1.73852e-12,upper,,,,,,,1.21503e-12,1.24345e-12,0,,rmf_diskline_v1,XMM PPS RMF-folded fit: detail=output/private/xrism/xmm_0204730201__fek_broad_line_rmf_diskline.json; r_in_bound=upper,r_in_bound:upper,1,29.0713,1.1852e+06,1083.72,0,
GX 339-4,bh_xrb,xmm,0204730301,EPIC,1,50,38.1415,9.64673e-12,upper,,,,,,,6.84963e-12,6.79279e-12,0,,rmf_diskline_v1,XMM PPS RMF-folded fit: detail=output/private/xrism/xmm_0204730301__fek_broad_line_rmf_diskline.json; r_in_bound=upper,no_broad_line,0,8.40921,1.24774e+06,1109.94,0,
GX 339-4,bh_xrb,nustar,80001013001,FPMA/FPMB,1,28.2681,nan,39.9056,,,,,,,,25.767,16.2641,25.7681,,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80001013001__fek_broad_line_proxy_diskline.json,no_broad_line,0,2.71783e-13,42.6,5.97457,0,auto_det1
GX 339-4,bh_xrb,nustar,80001013010,FPMA/FPMB,1,5.49997,0.686979,4.00011,,-0.50003,-0.1232,-0.83797,-0.206464,4.05867,5.82275,4.00011,0.000366834,0,8.2632e-05,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80001013010__fek_broad_line_proxy_diskline.json,ok,1,3081.53,518497,718.921,1,src_reg
GX 339-4,bh_xrb,nustar,80001013006,FPMA/FPMB,1,2.50097,0.388097,8.0764,,-3.49903,-0.432742,-3.83697,-0.474537,8.08572,20.8103,7.49896,2.99895,0,0.000968673,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80001013006__fek_broad_line_proxy_diskline.json,ok,1,3264.14,555866,744.325,1,src_reg
GX 339-4,bh_xrb,nustar,80001013002,FPMA/FPMB,1,5.49945,0.726944,4.1023,,-0.50055,-0.120145,-0.83849,-0.20126,4.16621,5.64321,4.1023,0.000360649,0,0.00049692,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80001013002__fek_broad_line_proxy_diskline.json,ok,1,1800.89,319004,563.395,1,src_reg
GX 339-4,bh_xrb,nustar,80302304007,FPMA/FPMB,1,2.99995,0.551334,7.39941,,-3.00005,-0.404324,-3.33799,-0.449869,7.41992,13.4209,6.50005,2.50007,0,2.50004,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80302304007__fek_broad_line_proxy_diskline.json,ok,1,537.098,91673.6,302.215,1,src_reg
GX 339-4,bh_xrb,nustar,80502325006,FPMA/FPMB,1,2.5,0.600438,0.499854,lower,,,,,,,0.499854,0,0,0,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80502325006__fek_broad_line_proxy_diskline.json; r_in_bound=lower,r_in_bound:lower,1,719.547,151463,388.593,0,src_reg
GX 339-4,bh_xrb,nustar,80702316002,FPMA/FPMB,1,2.5,0.41601,7.50002,lower,,,,,,,7.50002,0,0,0,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80702316002__fek_broad_line_proxy_diskline.json; r_in_bound=lower,r_in_bound:lower,1,946.926,139017,372.324,0,src_reg
GX 339-4,bh_xrb,nustar,90702303001,FPMA/FPMB,1,5.49997,0.738007,4.0001,,-0.50003,-0.12293,-0.83797,-0.20601,4.06761,5.42014,4.0001,6.91775e-05,0,0.000142766,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_90702303001__fek_broad_line_proxy_diskline.json,ok,1,1451.99,214866,462.88,1,src_reg
GX 339-4,bh_xrb,nustar,80001015001,FPMA/FPMB,1,2.5,0.331532,7.00012,lower,,,,,,,7.00012,3.9968e-15,0,0,proxy_diskline_v1,NuSTAR event_cl proxy fit (no RMF): detail=output/private/xrism/nustar_80001015001__fek_broad_line_proxy_diskline.json; r_in_bound=lower,r_in_bound:lower,1,20396.8,2.17098e+06,1467.11,0,src_reg
