phase,T_K,Cp_J_per_molK
solid,298.0,19.985981518167875
solid,303.57028112449797,20.152463772326563
solid,309.140562248996,20.31117734549674
solid,314.71084337349396,20.46266720279167
solid,320.281124497992,20.607431339177737
solid,325.85140562248995,20.745925555401634
solid,331.421686746988,20.87856767681899
solid,336.99196787148594,21.00574128817292
solid,342.56224899598396,21.127799046769294
solid,348.13253012048193,21.245065627576476
solid,353.7028112449799,21.357840346251116
solid,359.2730923694779,21.46639949972368
solid,364.8433734939759,21.570998458573264
solid,370.4136546184739,21.671873540824656
solid,375.9839357429719,21.769243692878607
solid,381.5542168674699,21.863311999933742
solid,387.12449799196787,21.954267045384
solid,392.69477911646584,22.042284136206238
solid,398.26506024096386,22.127526409226068
solid,403.83534136546183,22.210145831314712
solid,409.40562248995985,22.29028410498245
solid,414.9759036144578,22.368073489458503
solid,420.54618473895584,22.443637546152484
solid,426.1164658634538,22.517091816353012
solid,431.6867469879518,22.588544438112855
solid,437.2570281124498,22.658096708478148
solid,442.8273092369478,22.725843596526857
solid,448.3975903614458,22.791874212074326
solid,453.96787148594376,22.856272234370586
solid,459.5381526104418,22.919116304645378
solid,465.10843373493975,22.98048038594361
solid,470.6787148594377,23.04043409332952
solid,476.24899598393574,23.09904299721574
solid,481.81927710843377,23.15636890228826
solid,487.38955823293173,23.212470104245792
solid,492.9598393574297,23.267401626347425
solid,498.5301204819277,23.32121543756341
solid,504.1004016064257,23.373960653946135
solid,509.67068273092366,23.42568372468039
solid,515.2409638554217,23.476428604130668
solid,520.8112449799197,23.52623691107722
solid,526.3815261044176,23.575148076219566
solid,531.9518072289156,23.623199478925198
solid,537.5220883534137,23.670426574110312
solid,543.0923694779117,23.71686301005816
solid,548.6626506024096,23.76254073790721
solid,554.2329317269076,23.807490113475556
solid,559.8032128514056,23.85173999202853
solid,565.3734939759036,23.895317816542963
solid,570.9437751004016,23.938249699973195
solid,576.5140562248996,23.980560501980214
solid,582.0843373493976,24.022273900545766
solid,587.6546184738957,24.06341245885739
solid,593.2248995983936,24.10399768781804
solid,598.7951807228916,24.144050104504284
solid,604.3654618473895,24.183589286870536
solid,609.9357429718875,24.222633924972136
solid,615.5060240963855,24.261201868958384
solid,621.0763052208836,24.299310174066065
solid,626.6465863453816,24.33697514282588
solid,632.2168674698795,24.374212364677366
solid,637.7871485943775,24.411036753172542
solid,643.3574297188754,24.447462580934612
solid,648.9277108433735,24.483503512525143
solid,654.4979919678715,24.519172635361635
solid,660.0682730923695,24.554482488816415
solid,665.6385542168675,24.589445091618156
solid,671.2088353413654,24.624071967668282
solid,676.7791164658635,24.658374170376078
solid,682.3493975903614,24.69236230560897
solid,687.9196787148594,24.726046553347274
solid,693.4899598393574,24.759436688126243
solid,699.0602409638554,24.792542098342558
solid,704.6305220883535,24.82537180449667
solid,710.2008032128514,24.85793447643754
solid,715.7710843373494,24.89023844967167
solid,721.3413654618473,24.922291740793952
solid,726.9116465863453,24.954102062093998
solid,732.4819277108434,24.98567683538792
solid,738.0522088353414,25.017023205122122
solid,743.6224899598394,25.04814805079261
solid,749.1927710843373,25.079057998720312
solid,754.7630522088353,25.109759433220397
solid,760.3333333333333,25.14025850720081
solid,765.9036144578313,25.17056115222333
solid,771.4738955823293,25.200673088057872
solid,777.0441767068273,25.230599831759143
solid,782.6144578313254,25.260346706292665
solid,788.1847389558233,25.289918848735567
solid,793.7550200803213,25.31932121807602
solid,799.3253012048192,25.348558602633435
solid,804.8955823293172,25.377635627120547
solid,810.4658634538152,25.406556759366843
solid,816.0361445783133,25.43532631672189
solid,821.6064257028113,25.463948472155753
