T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
13.0,0.10555386774141656,1.0555386774141658e-09,0.03,3e-10
14.0,0.13309041480754097,1.3309041480754097e-09,0.03,3e-10
15.0,0.14906469638765094,1.4906469638765095e-09,0.03,3e-10
16.0,0.11030769097369961,1.103076909736996e-09,0.03,3e-10
17.0,0.04474672330195559,4.474672330195559e-10,0.03,3e-10
18.0,-0.045386038282090646,-4.5386038282090645e-10,0.03,3e-10
19.0,-0.17180920211933742,-1.7180920211933742e-09,0.03,3e-10
20.0,-0.3406056923499412,-3.406056923499412e-09,0.03,3e-10
21.0,-0.5572548031493234,-5.5725480314932346e-09,0.03,3e-10
22.0,-0.8269343037943666,-8.269343037943666e-09,0.03,3e-10
23.0,-1.1544019759301651,-1.1544019759301652e-08,0.03,3e-10
24.0,-1.5438820451316155,-1.5438820451316157e-08,0.03,3e-10
25.0,-1.9989624023433001,-1.9989624023433003e-08,0.03,3e-10
26.0,-2.522504697236022,-2.522504697236022e-08,0.03,3e-10
27.0,-3.116569133524793,-3.116569133524793e-08,0.03,3e-10
28.0,-3.7823555521281924,-3.7823555521281925e-08,0.03,3e-10
29.0,-4.520162148372184,-4.520162148372184e-08,0.03,3e-10
30.0,-5.329362933914205,-5.329362933914205e-08,0.03,3e-10
31.0,-6.208404819558522,-6.208404819558522e-08,0.03,3e-10
32.0,-7.154824948830198,-7.154824948830198e-08,0.03,3e-10
33.0,-8.165288610226703,-8.165288610226703e-08,0.03,3e-10
34.0,-9.235647568070469,-9.235647568070469e-08,0.03,3e-10
35.0,-10.361017643945683,-1.0361017643945683e-07,0.03,3e-10
36.0,-11.53587213840112,-1.153587213840112e-07,0.03,3e-10
37.0,-12.754143016313503,-1.2754143016313504e-07,0.03,3e-10
38.0,-14.009313478001562,-1.4009313478001564e-07,0.03,3e-10
39.0,-15.29447420902185,-1.529447420902185e-07,0.03,3e-10
40.0,-16.602307452314196,-1.6602307452314196e-07,0.03,3e-10
41.0,-17.92497397171395,-1.792497397171395e-07,0.03,3e-10
42.0,-19.25393178381967,-1.925393178381967e-07,0.03,3e-10
43.0,-20.57982681768017,-2.057982681768017e-07,0.03,3e-10
44.0,-21.892734715054942,-2.1892734715054944e-07,0.03,3e-10
45.0,-23.183094549565123,-2.3183094549565122e-07,0.03,3e-10
46.0,-24.44350210782511,-2.444350210782511e-07,0.03,3e-10
47.0,-25.671034412641923,-2.5671034412641925e-07,0.03,3e-10
48.0,-26.869114083595484,-2.6869114083595483e-07,0.03,3e-10
49.0,-28.047550735151784,-2.8047550735151787e-07,0.03,3e-10
50.0,-29.219839113498725,-2.9219839113498727e-07,0.5,5e-09
51.0,-30.398143944106238,-3.0398143944106237e-07,0.5,5e-09
52.0,-31.587983876191615,-3.1587983876191613e-07,0.5,5e-09
53.0,-32.785282943173925,-3.2785282943173926e-07,0.5,5e-09
54.0,-33.97744650673043,-3.397744650673043e-07,0.5,5e-09
55.0,-35.147901529178526,-3.5147901529178527e-07,0.5,5e-09
56.0,-36.28160563772687,-3.628160563772687e-07,0.5,5e-09
57.0,-37.3687325204642,-3.73687325204642e-07,0.5,5e-09
58.0,-38.40518380186532,-3.840518380186532e-07,0.5,5e-09
59.0,-39.39057708632551,-3.939057708632551e-07,0.5,5e-09
60.0,-40.325512945819106,-4.032551294581911e-07,0.5,5e-09
61.0,-41.20970843881951,-4.1209708438819515e-07,0.5,5e-09
