Z,N,A,symbol,parity,is_magic_Z,is_magic_N,is_magic_any,B_obs_MeV,sigma_B_obs_MeV,B_over_A_obs_MeV,r_rms_fm,sigma_r_rms_fm,R_model_fm,sigma_R_model_fm,radius_source,L_fm,R_ref_fm,J_ref_MeV,J_E_MeV,sigma_J_E_from_R_model_MeV,C_required,C_collective,B_pred_collective_MeV,sigma_B_pred_collective_from_R_MeV,ratio_collective,Delta_B_collective_MeV,C_pn_only,B_pred_pn_only_MeV,sigma_B_pred_pn_only_from_R_MeV,ratio_pn_only,Delta_B_pn_only_MeV,C_pairwise_all,B_pred_pairwise_all_MeV,sigma_B_pred_pairwise_all_from_R_MeV,ratio_pairwise_all,Delta_B_pairwise_all_MeV,log10_ratio_collective,z_robust_log10_ratio_collective,is_outlier_robust_abs_z_gt3,r0_from_R_model_fm,d_spacing_fm,J_E_local_spacing_MeV,B_pred_local_spacing_MeV,ratio_local_spacing,Delta_B_local_spacing_MeV,nu_base_from_C_collective,nu_sat_frozen,nu_eff_saturated,C_eff_saturated,B_pred_local_spacing_sat_MeV,ratio_local_spacing_sat,Delta_B_local_spacing_sat_MeV,B_pred_pmodel_local_sat_MeV,B_pred_yukawa_proxy_MeV,B_pred_semf_ref_MeV,ratio_pmodel_local_sat,ratio_yukawa_proxy,ratio_semf_ref,Delta_B_P_minus_Yukawa_MeV,Delta_B_P_minus_SEMF_MeV,Delta_Bfrac_P_minus_Yukawa,Delta_Bfrac_P_minus_SEMF
1,1,2,H,oo,False,False,False,2.2245662000000004,4.0000000000000003e-07,1.1122831000000002,nan,nan,4.317674363595111,0.0,tail_scale_anchor,1.413816930654131,4.317674363595111,1.11228317099471,1.11228317099471,0.0,0.9999999361720903,1,2.22456634198942,0.0,1.0000000638279138,1.4198941977738855e-07,1,2.22456634198942,0.0,1.0000000638279138,1.4198941977738855e-07,1,2.22456634198942,0.0,1.0000000638279138,1.4198941977738855e-07,2.7720109888832648e-08,3.480452704341046,True,3.426940,5.524200,0.473801,0.947603,0.425972,-1.276964,1.000000,1.500000,1.000000,1.000000,0.947603,0.425972,-1.276963,0.947603,2.224566,-4.661193,0.425972,1.000000,,-1.276963,5.608795,-0.574028,2.521299
1,2,3,H,oe,False,True,True,8.481796200000002,9e-07,2.8272654000000004,1.7591,0.0363,2.2709883347711557,0.046863098489109745,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,4.730573240683093,0.15680199810983292,0.8964871452635235,2,18.92229296273237,0.6272079924393317,2.2309299252830868,10.44049676273237,2,18.92229296273237,0.6272079924393317,2.2309299252830868,10.44049676273237,3,28.383439444098556,0.9408119886589975,3.34639488792463,19.901643244098555,0.3484859290732457,4.496895126639477,True,1.574615,2.538267,3.915718,15.662870,1.846645,7.181074,1.333333,1.500000,1.333333,2.000000,15.662870,1.846645,7.181074,15.662867,18.922293,2.324508,1.846645,2.230930,0.274058,-3.259426,13.338359,-0.384285,1.572587
2,1,3,He,eo,True,False,True,7.71804132,4.5e-07,2.57268044,1.9661,0.003,2.5382241856594674,0.003872983346207417,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,3.915836975266757,0.010726969710749277,0.9854906331326814,2,15.663347901067027,0.042907878842997106,2.029445976206179,7.945306581067027,2,15.663347901067027,0.042907878842997106,2.029445976206179,7.945306581067027,3,23.49502185160054,0.06436181826449566,3.0441689643092684,15.77698053160054,0.30737749490049454,4.37699255312014,True,1.759906,2.836955,3.170012,12.680047,1.642910,4.962006,1.333333,1.500000,1.333333,2.000000,12.680047,1.642910,4.962006,12.680047,15.663348,1.338548,1.642910,2.029446,0.173431,-2.983301,11.341499,-0.386536,1.469479
1,3,4,H,oo,False,False,False,6.8817964,0.1,1.7204491,nan,nan,1.9475045253678427,0.062158531748326314,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.946769630584573,0.2614500228906237,0.5786163604359694,3,35.68061778350744,1.5687001373437421,5.184782534907228,28.798821383507438,3,35.68061778350744,1.5687001373437421,5.184782534907228,28.798821383507438,6,71.36123556701487,3.1374002746874843,10.369565069814456,64.47943916701487,0.714730545513797,5.5651350859695965,True,1.226851,1.977674,5.821216,34.927297,5.075317,28.045501,1.500000,1.500000,1.500000,3.000000,34.927297,5.075317,28.045501,34.927298,35.680618,-11.143189,5.075317,5.184783,,-0.753320,46.070488,-0.109466,6.694544
2,2,4,He,ee,True,True,True,28.2956624,8.000000000000001e-07,7.0739156,1.6755,0.0028,2.1630611988568424,0.0036147844564602557,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,5.1058339975554725,0.013054370032965007,2.7709148410962006,3,30.635003985332837,0.07832622019779004,1.0826749185886821,2.3393415853328356,4,40.84667198044378,0.10443496026372005,1.4435665581182429,12.551009580443779,6,61.270007970665674,0.15665244039558007,2.1653498371773643,32.974345570665676,0.034498075963889395,3.581074507361829,True,1.362643,2.196570,4.986244,29.917466,1.057316,1.621803,1.500000,1.500000,1.500000,3.000000,29.917466,1.057316,1.621804,29.917457,30.635004,22.841007,1.057316,1.082675,0.807226,-0.717547,7.076450,-0.025359,0.250090
3,1,4,Li,oo,False,False,False,4.615041199999999,0.21213200000000001,1.1537602999999998,nan,nan,1.9475045253678427,0.062158531748326314,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.946769630584573,0.2614500228906237,0.38802925678040234,3,35.68061778350744,1.5687001373437421,7.731375785660904,31.065576583507436,3,35.68061778350744,1.5687001373437421,7.731375785660904,31.065576583507436,6,71.36123556701487,3.1374002746874843,15.462751571321808,66.74619436701488,0.8882567827871387,6.071265831177894,True,1.226851,1.977674,5.821216,34.927297,7.568144,30.312256,1.500000,1.500000,1.500000,3.000000,34.927297,7.568144,30.312256,34.927296,35.680618,-13.830601,7.568144,7.731376,,-0.753321,48.757897,-0.163232,10.564997
1,4,5,H,oe,False,False,False,6.681796000000001,0.08944250000000001,1.3363592000000002,nan,nan,2.0978856542232798,0.0669582485400212,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.346717416495901,0.25322007813370395,0.6248503034202877,4,42.77373933196721,2.0257606250696316,6.401533260214349,36.09194333196721,4,42.77373933196721,2.0257606250696316,6.401533260214349,36.09194333196721,10,106.93434832991801,5.064401562674079,16.003833150535872,100.252552329918,0.8062840062806539,5.832172636327675,True,1.226851,1.977674,5.821216,46.569729,6.969642,39.887933,1.600000,1.500000,1.500000,3.750000,43.659121,6.534039,36.977325,43.659116,42.773739,-15.957516,6.534039,6.401533,,0.885376,59.616631,0.132506,8.922247
2,3,5,He,eo,True,False,True,27.5606625,0.02,5.5121325,nan,nan,2.0978856542232798,0.0669582485400212,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.346717416495901,0.25322007813370395,2.577344223856751,4,42.77373933196721,2.0257606250696316,1.5519851647966447,15.213076831967207,6,64.16060899795082,3.0386409376044474,2.3279777471949674,36.59994649795082,10,106.93434832991801,5.064401562674079,3.8799629119916115,79.373685829918,0.19088756558341438,4.037221832213871,True,1.226851,1.977674,5.821216,46.569729,1.689717,19.009067,1.600000,1.500000,1.500000,3.750000,43.659121,1.584110,16.098458,43.659121,42.773739,21.130894,1.584110,1.551985,0.766705,0.885382,22.528227,0.032125,0.817405
3,2,5,Li,oe,False,True,True,26.330662499999995,0.05,5.266132499999999,nan,nan,2.0978856542232798,0.0669582485400212,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.346717416495901,0.25322007813370395,2.462320377991514,4,42.77373933196721,2.0257606250696316,1.6244839768831192,16.44307683196721,6,64.16060899795082,3.0386409376044474,2.436725965324679,37.82994649795082,10,106.93434832991801,5.064401562674079,4.061209942207798,80.60368582991802,0.21071543203337897,4.09505454373866,True,1.226851,1.977674,5.821216,46.569729,1.768650,20.239067,1.600000,1.500000,1.500000,3.750000,43.659121,1.658109,17.328458,43.659108,42.773739,19.467712,1.658109,1.624484,0.739355,0.885369,24.191396,0.033625,0.918754
4,1,5,Be,eo,False,False,False,0.09,2.005,0.018,nan,nan,2.0978856542232798,0.0669582485400212,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,5.346717416495901,0.25322007813370395,0.008416378965749012,4,42.77373933196721,2.0257606250696316,475.2637703551912,42.6837393319672,4,42.77373933196721,2.0257606250696316,475.2637703551912,42.6837393319672,10,106.93434832991801,5.064401562674079,1188.159425887978,106.844348329918,2.676934709025401,11.288372511815188,True,1.226851,1.977674,5.821216,46.569729,517.441436,46.479729,1.600000,1.500000,1.500000,3.750000,43.659121,485.101346,43.569121,43.659121,42.773739,-20.947060,485.101346,475.263770,,0.885382,64.606181,9.837576,717.846453
1,5,6,H,oo,False,False,False,5.769837,0.254127,0.9616395,nan,nan,2.2293361676256365,0.0711537565885126,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.8720129094959335,0.24519583345063953,0.5921409802459818,5,48.72012909495933,2.4519583345063953,8.443935087760597,42.95029209495933,5,48.72012909495933,2.4519583345063953,8.443935087760597,42.95029209495933,15,146.160387284878,7.355875003519186,25.331805263281787,140.390550284878,0.9265448860359339,6.182942235475181,True,1.226851,1.977674,5.821216,58.212162,10.089048,52.442325,1.666667,1.500000,1.500000,4.500000,52.390946,9.080143,46.621109,52.390945,48.720129,-32.038521,9.080143,8.443935,,3.670816,84.429466,0.636208,14.632903
2,4,6,He,ee,True,False,True,29.271119400000003,5.34e-05,4.878519900000001,2.066,0.0111,2.667194531088174,0.014330038380967443,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,3.5744370796665743,0.0362294575990658,4.094507575264191,5,35.74437079666574,0.36229457599065795,1.2211480643499317,6.473251396665738,8,57.19099327466519,0.5796713215850527,1.953836902959891,27.919873874665186,15,107.23311238999723,1.0868837279719739,3.663444193049796,77.96199298999723,0.08676832539580712,3.733533182850348,True,1.467814,2.366104,4.422790,44.227897,1.510974,14.956778,1.666667,1.500000,1.500000,4.500000,39.805107,1.359877,10.533988,39.805122,35.744371,23.707354,1.359877,1.221148,0.809923,4.060751,16.097768,0.138729,0.549954
3,3,6,Li,oo,False,False,False,31.9939872,1.8e-06,5.3323312,2.589,0.039,3.3423846277770006,0.050348783500696416,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,2.217193637806156,0.07895859784150015,7.214973616751186,5,22.17193637806156,0.7895859784150016,0.6930032271207998,-9.82205082193844,9,39.9094854805108,1.4212547611470028,1.2474058088174393,7.915498280510803,15,66.51580913418468,2.3687579352450046,2.079009681362399,34.52182193418468,-0.15926474299642915,3.015918934953688,True,1.839385,2.965074,2.895379,28.953789,0.904976,-3.040198,1.666667,1.500000,1.500000,4.500000,26.058410,0.814478,-5.935577,26.058399,22.171936,28.813809,0.814478,0.693003,0.900601,3.886462,-2.755410,0.121475,-0.086123
4,2,6,Be,ee,False,True,True,26.923486800000003,0.005448000000000001,4.4872478000000005,nan,nan,2.2293361676256365,0.0711537565885126,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.8720129094959335,0.24519583345063953,2.7630762992770426,5,48.72012909495933,2.4519583345063953,1.8095772459516397,21.79664229495933,8,77.95220655193494,3.9231333352102324,2.895323593522624,51.02871975193493,15,146.160387284878,7.355875003519186,5.428731737854919,119.23690048487799,0.257577126695122,4.231737876550805,True,1.226851,1.977674,5.821216,58.212162,2.162133,31.288675,1.666667,1.500000,1.500000,4.500000,52.390946,1.945920,25.467459,52.390951,48.720129,19.794570,1.945920,1.809577,0.735216,3.670822,32.596381,0.136343,1.210704
